year,StreamA,StreamB
2007,13.2,10.2
2008,12.5,NA
2009,13.9,NA
2010,11.36,11.67
2011,12.97,NA
2012,13.1,11.1
2013,14.47,11.42
2014,13.37,11.37
2015,12.48,12.18
2016,12.63,12.03
2017,13.16,11.96
2018,12.94,12.56
2019,14.1,13
2020,12.07,12.87
2021,13.43,13.25
2022,13.28,13.78
